#{"t_start": 1774919389.2693346, "env_id": "None"}
r,l,t
-189.054567,12,0.914843
-184.191514,12,1.402206
-198.237631,12,1.891522
-186.068156,12,2.38229
-184.71159,12,3.2066
-186.558288,12,3.69657
-185.171952,12,4.185576
-185.217753,12,4.678636
-184.743371,12,5.274875
-187.816236,12,5.765708
-185.612225,12,6.257399
-186.394149,12,6.749642
-185.749223,12,7.380023
-185.648139,12,7.866579
-186.22666,12,8.355503
-209.520423,12,8.840992
-192.618609,12,9.452915
-186.330315,12,9.941134
-185.875371,12,10.424977
-187.990075,12,10.910685
-185.332365,12,11.575902
-183.257131,12,12.064477
-184.932516,12,12.553524
-184.879163,12,13.042124
-184.443711,12,13.726343
-184.609514,12,14.214513
-185.273973,12,14.705272
-183.105285,12,15.193183
-189.434836,12,15.85074
-185.233953,12,16.343697
-185.872659,12,16.835846
-186.144738,12,17.328722
-183.451077,12,17.948014
-186.32059,12,18.437504
-185.532134,12,18.927659
-185.098184,12,19.417731
-187.766101,12,20.022032
-184.414675,12,20.511618
-185.143771,12,21.001006
-184.188617,12,21.490526
-184.673156,12,22.104066
-186.601344,12,22.593533
-185.917457,12,23.079267
-191.951728,12,23.56477
-184.614917,12,24.152493
-186.167416,12,24.640306
-184.704135,12,25.125317
-184.835807,12,25.612034
-185.866077,12,26.20046
-183.802994,12,26.688998
-186.915777,12,27.180258
-183.81403,12,27.668462
-185.372025,12,28.261206
-186.233263,12,28.751261
-186.697305,12,29.242734
-186.234317,12,29.732324
-186.091838,12,30.431152
-185.512661,12,30.917987
-185.134562,12,31.402369
-184.431422,12,31.888224
-185.861643,12,32.503805
-184.177459,12,32.994286
-184.986455,12,33.486837
-185.090566,12,33.97785
-181.875058,12,34.566287
-185.452716,12,35.052815
-184.408305,12,35.541481
-184.676094,12,36.026277
-184.775162,12,36.643467
-185.925356,12,37.124045
-183.884169,12,37.607597
-186.446988,12,38.088845
-211.357829,12,38.721952
-184.168246,12,39.206981
-185.357099,12,39.692208
-185.322425,12,40.176781
-185.595798,12,40.808294
-184.475983,12,41.291538
-186.275252,12,41.775043
-185.340257,12,42.256067
-184.996937,12,42.883515
-185.145505,12,43.366293
-185.101317,12,43.84518
-185.683118,12,44.322422
-185.322197,12,44.960132
-184.717469,12,45.439071
-185.309563,12,45.918818
-185.180164,12,46.398227
-187.453754,12,47.065965
-185.012653,12,47.546612
-184.876032,12,48.026561
-184.135539,12,48.509141
-187.054997,12,49.095552
-186.686694,12,49.578381
-185.359984,12,50.063492
-185.606237,12,50.546304
-187.207469,12,51.13272
-184.575468,12,51.617731
-184.783731,12,52.103923
-185.934247,12,52.591599
-184.865833,12,53.201019
-184.173148,12,53.678161
-184.263056,12,54.157605
-184.792568,12,54.636073
-184.509235,12,55.274301
-185.522592,12,55.751412
-184.983816,12,56.227154
-185.002939,12,56.703176
-186.355086,12,57.352006
-184.037369,12,57.825595
-184.920927,12,58.298481
-183.500802,12,58.77452
-183.962987,12,59.374564
-183.999525,12,59.849738
-184.514875,12,60.324878
-184.039719,12,60.798975
-185.004975,12,61.372957
-183.936941,12,61.847829
-184.119357,12,62.323381
-184.242509,12,62.797974
-184.055701,12,63.373813
-183.688882,12,63.849779
-184.822598,12,64.325489
-183.930716,12,64.800545
-184.291615,12,65.463075
-183.609372,12,65.93692
-184.483407,12,66.41155
-184.187466,12,66.886106
-185.240718,12,67.516749
-184.536289,12,67.994241
-184.379628,12,68.47216
-183.654902,12,68.950733
-183.814659,12,69.584241
-183.24261,12,70.059017
-186.398022,12,70.534808
-184.952073,12,71.010517
-183.590624,12,71.626577
-183.365836,12,72.102392
-184.038093,12,72.581941
-183.499179,12,73.057667
-184.024688,12,73.632323
-185.227119,12,74.106248
-184.463213,12,74.579166
-185.275784,12,75.053359
-185.868581,12,75.62823
-187.43059,12,76.103653
-184.135624,12,76.57691
-184.838766,12,77.053117
-185.417443,12,77.628943
-186.631257,12,78.10576
-184.482895,12,78.579424
-186.589136,12,79.053865
-184.915321,12,79.67642
-184.493544,12,80.150841
-184.157743,12,80.625822
-183.190037,12,81.100335
-185.47546,12,81.708431
-184.624646,12,82.184281
-184.792786,12,82.658204
-184.717576,12,83.132913
-183.929729,12,83.718802
-184.822465,12,84.193947
-184.890503,12,84.668617
-184.638126,12,85.143904
-184.884352,12,85.719791
-185.587745,12,86.196282
-185.253345,12,86.671308
-185.875236,12,87.145586
-184.222307,12,87.719879
-183.740911,12,88.196114
-185.255488,12,88.672524
-183.768063,12,89.149381
-184.183397,12,89.823862
-185.142818,12,90.297192
-185.291543,12,90.770384
-185.653038,12,91.243808
-184.580588,12,91.902953
-184.008779,12,92.378733
-184.24144,12,92.852407
-184.342375,12,93.327138
-183.556401,12,93.925385
-183.469548,12,94.41334
-183.519477,12,94.888714
-185.322377,12,95.362668
-194.959412,12,95.963802
-183.236612,12,96.441159
-184.463298,12,96.917133
-184.631695,12,97.393531
-184.254341,12,97.974221
-184.345577,12,98.449103
-183.305979,12,98.924673
-185.783195,12,99.399565
-184.693759,12,99.97775
-183.975795,12,100.452923
-183.791586,12,100.929905
-184.90297,12,101.403872
-184.280224,12,101.999238
-183.470649,12,102.473209
-185.042379,12,102.947616
-184.250762,12,103.421991
-185.032726,12,104.002861
-185.735878,12,104.476554
-184.1554,12,104.953202
-184.383762,12,105.427714
-184.88417,12,106.092182
