trajectory,t,tau_residual_target,tau_residual_pred,theta,omega,motor_input_a
chrono_run_1.finalized,0.0,0.015171419879965276,0.012125677245964077,0.0,-0.0022583657409995,0.0
chrono_run_1.finalized,0.014172792434692398,0.014958933368151227,0.012129312866185476,1.6638037013727568e-06,-0.0024501133011654,0.0
chrono_run_1.finalized,0.2743163108825684,0.014872113734558845,0.012131777984776349,-7.546839185440214e-06,-0.0025274515082128,0.0
chrono_run_1.finalized,0.27974367141723644,0.014800835561482133,0.01213379939737034,-1.509956635262685e-05,-0.0025908688379917,0.0
chrono_run_1.finalized,0.294886589050293,0.014653432678976896,0.012133801280481922,-2.3728760944981e-05,-0.0025469972473727,0.0
chrono_run_1.finalized,0.30692052841186535,0.014750718114211704,0.012133723349927714,-3.001829202014408e-05,-0.0025110225430651,0.0
chrono_run_1.finalized,0.32004356384277355,0.014830472916311517,0.0121336594536169,-3.517570750177781e-05,-0.0024815232855329,0.0
chrono_run_1.finalized,0.3359968662261964,0.014874615993920983,0.012135326450766456,-4.073519590919396e-05,-0.0025372286866451,0.0
chrono_run_1.finalized,0.3467350006103516,0.014910770733160335,0.012136693394276891,-4.529397640327521e-05,-0.002582907115557,0.0
chrono_run_1.finalized,0.36002826690673834,0.014732853204841195,0.012131800767051212,-4.598664732869584e-05,-0.0023327421079709,0.0
chrono_run_1.finalized,0.3730933666229249,0.014811397737917271,0.012133481892850385,-4.9565942583979406e-05,-0.0023992491961141,0.0
chrono_run_1.finalized,0.3874490261077882,0.014853642918396293,0.012135946666938858,-5.383949438259953e-05,-0.0025017219089104,0.0
chrono_run_1.finalized,0.40062308311462413,0.014888114614848891,0.012137967787545046,-5.734380685746804e-05,-0.0025857495334033,0.0
chrono_run_1.finalized,0.41473078727722174,0.014788143230632296,0.012137237591336253,-5.854903662652178e-05,-0.0025427994176102,0.0
chrono_run_1.finalized,0.4268355369567872,0.014800199939752064,0.012134133988290056,-5.984414785365958e-05,-0.0023797486298525,0.0
chrono_run_1.finalized,0.4403457641601563,0.014798530588320574,0.012131959010734366,-6.143034383294173e-05,-0.0022620259507308,0.0
chrono_run_1.finalized,0.4557254314422608,0.014667165473945807,0.012131841567508673,-6.353363574568678e-05,-0.0022453881461396,0.0
chrono_run_1.finalized,0.4670193195343018,0.014721571856186624,0.012132224811545956,-6.373073393514553e-05,-0.002263703080054,0.0
chrono_run_1.finalized,0.4797585010528565,0.014864762947711921,0.012133722125578018,-6.618856348517513e-05,-0.0023266582263826,0.0
chrono_run_1.finalized,0.49298715591430675,0.014622818447415552,0.01213642253535366,-6.709302624022561e-05,-0.0024581762805702,0.0
chrono_run_1.finalized,0.5078341960906984,0.014810633351886548,0.012141014007042436,-6.940018960099969e-05,-0.0026778738109717,0.0
chrono_run_1.finalized,0.5208685398101808,0.014603151772960492,0.012139776631637168,-7.197808184197313e-05,-0.0026023623583767,0.0
chrono_run_1.finalized,0.5337913036346437,0.014693033289367613,0.012141124102750646,-7.550890725064756e-05,-0.0026522957351261,0.0
chrono_run_1.finalized,0.5470418930053712,0.014540795483672372,0.012139451039216353,-7.600895077638706e-05,-0.0025654093693437,0.0
chrono_run_1.finalized,0.5597112178802491,0.014551829391480657,0.012141491601992682,-7.568356981671676e-05,-0.0026699311427284,0.0
chrono_run_1.finalized,0.5750689506530763,0.01452587760415635,0.012136436670962914,-7.157315551608264e-05,-0.0024360597020211,0.0
chrono_run_1.finalized,0.5869719982147218,0.014503487187495941,0.012132291645380332,-6.820261578956266e-05,-0.0022442851206411,0.0
chrono_run_1.finalized,0.6003842353820802,0.014418395120082032,0.012133619536979575,-6.829845938476028e-05,-0.002310735499664,0.0
chrono_run_1.finalized,0.6143245697021485,0.014546247453379848,0.012133740132647041,-6.820559390332814e-05,-0.002317287909944,0.0
chrono_run_1.finalized,0.6269793510437013,0.014385906571523574,0.012137787562170417,-6.956147620645711e-05,-0.0025144084465395,0.0
chrono_run_1.finalized,0.6398844718933107,0.014253798160810753,0.012141106465428122,-7.067329969502287e-05,-0.0026760472865477,0.0
chrono_run_1.finalized,0.6538336277008058,0.01408818045066014,0.012135035088163148,-6.926672935304128e-05,-0.002377159114504,0.0
chrono_run_1.finalized,0.6669628620147706,0.014230667585388,0.012131462053438152,-6.633825102254729e-05,-0.0022119656476262,0.0
chrono_run_1.finalized,0.6800401210784913,0.014175291372974873,0.01212713886334051,-6.583224537422318e-05,-0.0019966121705884,0.0
chrono_run_1.finalized,0.6931378841400148,0.014124455991875836,0.012123593860334531,-6.541732074259743e-05,-0.0018200223194173,0.0
chrono_run_1.finalized,0.7074573040008546,0.014321720214768298,0.012130625897973943,-6.619078548537365e-05,-0.0021705665715755,0.0
chrono_run_1.finalized,0.7202432155609132,0.014415163124313918,0.01213511577931178,-6.674098821046241e-05,-0.0023940969909868,0.0
chrono_run_1.finalized,0.7332336902618409,0.014490453258188481,0.012138797495883449,-6.719215444503519e-05,-0.002577391934904,0.0
chrono_run_1.finalized,0.7461154460906984,0.014551772342424602,0.012141816512801544,-6.756211075738487e-05,-0.0027276937889162,0.0
chrono_run_1.finalized,0.7606430053710939,0.014601902695083541,0.012144292112947395,-6.786547493351161e-05,-0.0028509413092061,0.0
chrono_run_1.finalized,0.7728919982910157,0.014642948353735311,0.012146322109284983,-6.811423355793554e-05,-0.0029520042758439,0.0
chrono_run_1.finalized,0.7863123416900636,0.014676578609417358,0.012147986709117984,-6.831821562996316e-05,-0.0030348759084869,0.0
chrono_run_1.finalized,0.8007440567016603,0.014704142403135924,0.012149351682888096,-6.84854809290258e-05,-0.0031028306472541,0.0
chrono_run_1.finalized,0.8134701251983644,0.014568983433228384,0.012141550378444967,-6.817745923506477e-05,-0.0027111425453531,0.0
chrono_run_1.finalized,0.8264975547790528,0.014457045399968607,0.01213515335126886,-6.792488144601672e-05,-0.0023899583017943,0.0
chrono_run_1.finalized,0.8397207260131837,0.014524635004754876,0.012133602231611721,-6.663593096464962e-05,-0.002318334782242,0.0
chrono_run_1.finalized,0.8538191318511964,0.01436804039052691,0.012127996701944541,-6.97447502088496e-05,-0.0020199190355243,0.0
chrono_run_1.finalized,0.8670146465301515,0.014726519973799007,0.01213160371329082,-7.505435114182805e-05,-0.0021746922103872,0.0
chrono_run_1.finalized,0.879999876022339,0.014569992097734751,0.01213294836703861,-7.599350805850822e-05,-0.0022376903464162,0.0
chrono_run_1.finalized,0.8933670520782473,0.01432344696633049,0.012129106306424364,-7.488433774695591e-05,-0.0020496643572754,0.0
chrono_run_1.finalized,0.9069352149963381,0.014309535918205477,0.012130488450551738,-7.177795119064871e-05,-0.0021351675068646,0.0
chrono_run_1.finalized,0.9197499752044679,0.014346079562722411,0.012132908642308867,-6.941774338418828e-05,-0.0022691959568861,0.0
chrono_run_1.finalized,0.9335031509399415,0.014313795558787368,0.012136673885983057,-6.941907649549239e-05,-0.0024589940781924,0.0
chrono_run_1.finalized,0.9468572139739991,0.014425527792585708,0.012136356132807963,-7.022688459352563e-05,-0.0024388599443373,0.0
chrono_run_1.finalized,0.9605443477630617,0.01419696892323136,0.0121328779358435,-7.041618371047557e-05,-0.0022625603280895,0.0
chrono_run_1.finalized,0.9736804962158205,0.014390943048369045,0.01213063268837324,-6.403175825847089e-05,-0.0021819104682152,0.0
chrono_run_1.finalized,0.9870095252990724,0.014511756383936916,0.012130172091033198,-5.991022425295618e-05,-0.0021796934504768,0.0
chrono_run_1.finalized,0.9998712539672853,0.01442070070284856,0.012132167502063572,-5.492047872614214e-05,-0.0023057072306482,0.0
chrono_run_1.finalized,1.0135421752929688,0.014560515777619904,0.012136480886201928,-5.22265713506868e-05,-0.0025368702651056,0.0
chrono_run_1.finalized,1.0263409614562988,0.01431054770857217,0.012138252189442995,-5.136514702342536e-05,-0.002630550152323,0.0
chrono_run_1.finalized,1.0399150848388672,0.014105489684323758,0.012139704660648775,-5.065877907507098e-05,-0.0027073676598413,0.0
chrono_run_1.finalized,1.053713321685791,0.014054958957891099,0.01213890074079024,-5.229500484368496e-05,-0.002658505248129,0.0
chrono_run_1.finalized,1.0668795108795166,0.014236557152664217,0.012138420020891095,-5.54025287209322e-05,-0.0026184381543439,0.0
chrono_run_1.finalized,1.0801658630371094,0.014303135654007329,0.012141220239854658,-5.8193797895369096e-05,-0.0027453727220173,0.0
chrono_run_1.finalized,1.093369722366333,0.01435763076330206,0.012143516425120786,-6.048263861840736e-05,-0.0028494590675094,0.0
chrono_run_1.finalized,1.1072087287902832,0.014240940801915444,0.012139827103374176,-6.36803744763048e-05,-0.0026471885096095,0.0
chrono_run_1.finalized,1.1207029819488523,0.014402295839250843,0.012140959947245185,-6.667146912317756e-05,-0.002689053179137,0.0
chrono_run_1.finalized,1.1330196857452393,0.014153622625322965,0.012140040778724865,-6.965638815458786e-05,-0.0026275084071119,0.0
chrono_run_1.finalized,1.1469788551330566,0.014370310874115761,0.012140765282884982,-7.104850977185178e-05,-0.0026569365282493,0.0
chrono_run_1.finalized,1.159959077835083,0.014547987939582136,0.012141359376848732,-7.21900494980082e-05,-0.002681067587582,0.0
chrono_run_1.finalized,1.1737194061279297,0.0147310488186844,0.012142799972401693,-6.687906350085797e-05,-0.0027807498904329,0.0
chrono_run_1.finalized,1.1870045661926267,0.014633830636952361,0.012132979966332984,-6.030928501321329e-05,-0.0023192045481333,0.0
chrono_run_1.finalized,1.201906442642212,0.014759464486571033,0.012130080204587883,-5.572237485753207e-05,-0.0021964008368815,0.0
chrono_run_1.finalized,1.2136507034301758,0.014861699270601922,0.012127702407526001,-5.196110852987346e-05,-0.002095701793655,0.0
chrono_run_1.finalized,1.2262904644012451,0.014944742502683434,0.012125752619024769,-4.887687014119341e-05,-0.0020131285782092,0.0
chrono_run_1.finalized,1.2399232387542725,0.014838289758025966,0.012128217237427656,-4.891688501157401e-05,-0.0021371661017095,0.0
chrono_run_1.finalized,1.2529935836791992,0.014912550800771635,0.012127875007733878,-4.752156382872855e-05,-0.0021270241031025,0.0
chrono_run_1.finalized,1.2664482593536377,0.01497343771561393,0.012127594379727701,-4.637740045879526e-05,-0.0021187076642448,0.0
chrono_run_1.finalized,1.2803740501403809,0.015003068575897137,0.012128430108904171,-4.3439983751897714e-05,-0.0021758040517398,0.0
